wiki-ref,old_content,old_time,new_content,new_time
1224042016,"He made his debut with the Bayern Munich senior team on 27 January 2024, coming off the bench for a [[Bundesliga]] 3–2 away win match against [[FC Augsburg]].<ref>{{cite web | url = https://www.kicker.de/augsburg-gegen-bayern-2024-bundesliga-4862135/spielbericht | title = Augsburg nutzt nur einen von zwei Elfmetern - Bayern trotzen Personalproblemen | language = de | website = kicker.de | date = 27 January 2024 | access-date = 27 January 2024}}</ref> Later that year, on 12 May, he netted his first Bundesliga goal during his inaugural start in a 2–0 victory against [[VfL Wolfsburg]].<ref>{{cite web |url=https://fcbayern.com/de/spiele/profis/bundesliga/2023-2024/fc-bayern-muenchen-vfl-wolfsburg-11-05-2024/spielbericht |title=Überzeugende Bayern feiern Sieg gegen Wolfsburg im letzten Heimspiel |publisher=FC Bayern Munich |language=de |date=12 May 2024 }}</ref>",2024-05-12T18:21:42Z,"He made his debut with the Bayern Munich senior team on 27 January 2024, coming off the bench for a [[Bundesliga]] 3–2 away win match against [[FC Augsburg]].<ref>{{cite web | url = https://www.kicker.de/augsburg-gegen-bayern-2024-bundesliga-4862135/spielbericht | title = Augsburg nutzt nur einen von zwei Elfmetern - Bayern trotzen Personalproblemen | language = de | website = kicker.de | date = 27 January 2024 | access-date = 27 January 2024}}</ref> Later that year, on 12 May, he netted his first Bundesliga goal during his inaugural start in a 2–0 victory against [[VfL Wolfsburg]].<ref>{{cite web |url=https://fcbayern.com/de/spiele/profis/bundesliga/2023-2024/fc-bayern-muenchen-vfl-wolfsburg-11-05-2024/spielbericht |title=Überzeugende Bayern feiern Sieg gegen Wolfsburg im letzten Heimspiel |publisher=FC Bayern Munich |language=de |date=12 May 2024 }}</ref> Three days later, he signed his first professional contract with the club until 2027.<ref>{{cite web |url=https://fcbayern.com/de/news/2024/05/fc-bayern-campus-profivertraege-fuer-lovro-zvonarek-noel-aseko-nkili-und-adam-aznou |title=Profiverträge für Lovro Zvonarek, Noel Aseko Nkili und Adam Aznou |publisher=FC Bayern Munich |language=de |date=15 May 2024 }}</ref>",2024-05-15T22:06:44Z
1210755691,|number=--,2023-06-23T23:28:59Z,"|number=68, 71",2024-02-28T05:35:52Z
1223597696,"On April 28, 2018, Michele announced her engagement to businessman Zandy Reich.<ref>{{cite web|last=Mizoguchi|first=Karen|date=April 28, 2018|title=Lea Michele Is Engaged! Glee Alum Shows Off 4-Carat Diamond Ring from Boyfriend Zandy Reich|url=http://people.com/tv/lea-michele-engaged-to-boyfriend-zandy-reich/|url-status=live|archive-url=https://web.archive.org/web/20180429035817/http://people.com/tv/lea-michele-engaged-to-boyfriend-zandy-reich/|archive-date=April 29, 2018|website=[[People (magazine)|People]]}}</ref> They were married on March 9, 2019, in [[Napa, California]].<ref>{{cite web|last=Elizabeth|first=Leonard|date=March 9, 2019|title=Lea Michele and Zandy Reich Are Married — See Their First Wedding Photo!|url=https://people.com/tv/lea-michele-zandy-reich-are-married/|url-status=live|archive-url=https://web.archive.org/web/20190310061323/https://people.com/tv/lea-michele-zandy-reich-are-married/|archive-date=March 10, 2019|website=People}}</ref> On May 2, 2020, Michele announced that she and Reich were expecting their first child.<ref>{{Cite news|last=Dosani|first=Rishma|date=May 2, 2020|title=Glee's Lea Michele expecting first child with husband Zandy Reich as she shows off baby bump|work=[[Metro (British newspaper)|Metro]]|url=https://metro.co.uk/2020/05/02/glee-lea-michele-pregnant-expecting-first-child-husband-zandy-reich-shows-off-baby-bump-12646725/amp/|url-status=live|archive-url=https://web.archive.org/web/20200505124759/https://metro.co.uk/2020/05/02/glee-lea-michele-pregnant-expecting-first-child-husband-zandy-reich-shows-off-baby-bump-12646725/amp/|archive-date=May 5, 2020}}</ref> Michele gave birth to a son on August 20, 2020.<ref>{{Cite news|last=Mizoguchi|first=Karen|date=August 23, 2020|title=Lea Michele Gives Birth, Welcomes 1st Child With Husband Zandy Reich|work=[[Us Magazine]]|url=https://people.com/parents/lea-michele-zandy-reich-name-son-ever-leo/}}</ref> On March 27, 2024, she announced she was pregnant with her second child.<ref>{{cite web |url=https://people.com/lea-michele-is-pregnant-expecting-baby-no-2-with-husband-zandy-reich-8403487 |title=Lea Michele Is Pregnant, Expecting Baby No. 2 with Husband Zandy Reich: 'Overjoyed' |author1=Andaloro, Angela |author2=Sacks, Hannah |website=People |date=March 27, 2024 |access-date=March 28, 2024}}</ref>",2024-04-13T19:38:54Z,"On April 28, 2018, Michele announced her engagement to businessman Zandy Reich.<ref>{{cite web|last=Mizoguchi|first=Karen|date=April 28, 2018|title=Lea Michele Is Engaged! Glee Alum Shows Off 4-Carat Diamond Ring from Boyfriend Zandy Reich|url=http://people.com/tv/lea-michele-engaged-to-boyfriend-zandy-reich/|url-status=live|archive-url=https://web.archive.org/web/20180429035817/http://people.com/tv/lea-michele-engaged-to-boyfriend-zandy-reich/|archive-date=April 29, 2018|website=[[People (magazine)|People]]}}</ref> They were married on March 9, 2019, in [[Napa, California]].<ref>{{cite web|last=Elizabeth|first=Leonard|date=March 9, 2019|title=Lea Michele and Zandy Reich Are Married — See Their First Wedding Photo!|url=https://people.com/tv/lea-michele-zandy-reich-are-married/|url-status=live|archive-url=https://web.archive.org/web/20190310061323/https://people.com/tv/lea-michele-zandy-reich-are-married/|archive-date=March 10, 2019|website=People}}</ref> On May 2, 2020, Michele announced that she and Reich were expecting their first child.<ref>{{Cite news|last=Dosani|first=Rishma|date=May 2, 2020|title=Glee's Lea Michele expecting first child with husband Zandy Reich as she shows off baby bump|work=[[Metro (British newspaper)|Metro]]|url=https://metro.co.uk/2020/05/02/glee-lea-michele-pregnant-expecting-first-child-husband-zandy-reich-shows-off-baby-bump-12646725/amp/|url-status=live|archive-url=https://web.archive.org/web/20200505124759/https://metro.co.uk/2020/05/02/glee-lea-michele-pregnant-expecting-first-child-husband-zandy-reich-shows-off-baby-bump-12646725/amp/|archive-date=May 5, 2020}}</ref> Michele gave birth to a son on August 20, 2020.<ref>{{Cite news|last=Mizoguchi|first=Karen|date=August 23, 2020|title=Lea Michele Gives Birth, Welcomes 1st Child With Husband Zandy Reich|work=[[Us Magazine]]|url=https://people.com/parents/lea-michele-zandy-reich-name-son-ever-leo/}}</ref> On March 27, 2024, she announced she was pregnant with her second child, a daughter.<ref>{{cite web |url=https://people.com/lea-michele-is-pregnant-expecting-baby-no-2-with-husband-zandy-reich-8403487 |title=Lea Michele Is Pregnant, Expecting Baby No. 2 with Husband Zandy Reich: 'Overjoyed' |author1=Andaloro, Angela |author2=Sacks, Hannah |website=People |date=March 27, 2024 |access-date=March 28, 2024}}</ref>",2024-05-13T05:15:50Z
1215967971,"'''Tina York''' née '''Monika Schwab''' (April 29, 1954, [[Bingen am Rhein|Bingen]]) is a [[Germany|German]] [[Pop music|pop]] singer. She had her greatest success in 1974 with ''Wir lassen uns das Singen nicht verbieten''.",2024-03-25T09:16:43Z,"'''Tina York''' née '''Monika Schwab''' (April 29, 1954, [[Bingen am Rhein|Bingen]]) is a German [[Pop music|pop]] singer. She had her greatest success in 1974 with ''Wir lassen uns das Singen nicht verbieten''.",2024-03-28T06:45:35Z
1224419066,"| caption      = Lomonosova at the play ""Passion for the Queen of Spades"" in 2018.",2024-04-05T15:47:47Z,"| caption      = At the play ""Passion for the Queen of Spades"" in 2018.",2024-05-18T08:50:20Z
1224502701,| Formula = {{chem|H|3|+}},2024-05-18T20:10:05Z,| Formula = {{chem2|H3+}},2024-05-18T20:11:13Z
1224502599,| coach          = [[Soichi Sakamot]]<br>(Hawaii Swim Club)<br>Mike Peppe<br>(Ohio State),2024-05-18T20:10:19Z,| coach          = [[Soichi Sakamoto]]<br>(Hawaii Swim Club)<br>Mike Peppe<br>(Ohio State),2024-05-18T20:10:40Z
1224503105,|win_DAC=10|draw_DAC=7 |loss_DAC=5 |gf_DAC=31|ga_DAC=21<!--DAC Dunajská Streda-->,2024-05-18T20:11:45Z,|win_DAC=0 |draw_DAC=0 |loss_DAC=0 |gf_DAC=00|ga_DAC=00<!--DAC Dunajská Streda-->,2024-05-18T20:13:37Z
1189040150,[[Category:British male characters in television]],2023-09-05T10:25:06Z,[[Category:English male characters in television]],2023-12-09T08:30:36Z
1209371067,{{WikiProject banner shell |living=yes |1=,2023-04-23T05:01:48Z,"{{WikiProject banner shell |living=yes |class=C|listas=Niebyl, Jennifer R.|1=",2024-02-21T16:06:20Z
1222686747,| origin            =,2024-05-06T00:55:28Z,| origin            = ,2024-05-07T10:39:03Z
1224420573,"Kyle began his career in 2009 with the Astro Scholarship to [[University of New South Wales]], or UNSW. In Australia, Kyle received a [[Bachelor's degree|bachelor's]] in arts for film, cinema and video studies.<ref name="":1"">{{Cite web |title=Biasiswa Astro realisasikan impian 'budak kampung' ke layar perak |url=https://www.astroawani.com/berita-hiburan/biasiswa-astro-realisasikan-impian-budak-kampung-ke-layar-perak-74294 |access-date=2024-05-18 |website=www.astroawani.com}}</ref> In an interview with [[Astro Awani]], Kyle told to Mariah Ahmad that he opened his eyes when he stays in [[Sydney]] for three years by learning more about [[Hollywood film|Hollywood filmmaking]].<ref name="":1"" />",2024-05-18T05:02:17Z,{{Orphan|date=May 2024}},2024-05-18T09:07:35Z
1148794205,"Shortly before reaching the islands of [[Guadeloupe]] and [[Dominica]] on November 8, the fleet came upon two English ships that fled when they spied the Spanish. While Admiral Guzman was chasing one of them, Admiral Alonso pursued the other ship, ''Francis''. After several exchanges of cannonfire, de Canço attacked the enemy ship and captured all 26 sailors aboard.<ref>Maynarde 1849, p. 48</ref><ref name=""Casariego1953"">{{cite book|author=Jesús Evaristo Casariego|author-link=Jesús Evaristo Casariego Fernández-Noriega|title=Mares y veleros de España|url=https://books.google.com/books?id=kJMKAQAAMAAJ&q=%22Cancio%22|year=1953|publisher=Navío y Corcel|page=60}}</ref> Sailing orders found aboard it revealed that the fleet of 27 ships with 2,500 men aboard, and commanded by [[John Hawkins (naval commander)|John Hawkins]] and [[Francis Drake]], was sitting in Guadeloupe, preparing its landing boats for an assault on the island of Puerto Rico and its treasure.<ref name=""Wernham1994"">{{cite book|author=R. B. Wernham|title=The Return of the Armadas : The Last Years of the Elizabethan War against Spain 1595–1603: The Last Years of the Elizabethan War against Spain 1595–1603|url=https://books.google.com/books?id=Mapur4SwDiAC&pg=PA49|date= 1994|publisher=Clarendon Press|isbn=978-0191591747|page=49}}</ref> Alarmed by this revelation, de Canço fired four cannon shots to alert one of his boats, which was in pursuit of another English ship, to go as soon as possible to warn Puerto Rico of the danger.",2023-04-01T22:40:08Z,"Shortly before reaching the islands of [[Guadeloupe]] and [[Dominica]] on November 8, the fleet came upon two English ships that fled when they spied the Spanish. While Admiral Guzman was chasing one of them, Admiral Alonso pursued the other ship, ''Francis''. After several exchanges of cannon fire, de Canço attacked the enemy ship and captured all 26 sailors aboard.<ref>Maynarde 1849, p. 48</ref><ref name=""Casariego1953"">{{cite book|author=Jesús Evaristo Casariego|author-link=Jesús Evaristo Casariego Fernández-Noriega|title=Mares y veleros de España|url=https://books.google.com/books?id=kJMKAQAAMAAJ&q=%22Cancio%22|year=1953|publisher=Navío y Corcel|page=60}}</ref> Sailing orders found aboard it revealed that the fleet of 27 ships with 2,500 men aboard, and commanded by [[John Hawkins (naval commander)|John Hawkins]] and [[Francis Drake]], was sitting in Guadeloupe, preparing its landing boats for an assault on the island of Puerto Rico and its treasure.<ref name=""Wernham1994"">{{cite book|author=R. B. Wernham|title=The Return of the Armadas : The Last Years of the Elizabethan War against Spain 1595–1603: The Last Years of the Elizabethan War against Spain 1595–1603|url=https://books.google.com/books?id=Mapur4SwDiAC&pg=PA49|date= 1994|publisher=Clarendon Press|isbn=978-0191591747|page=49}}</ref> Alarmed by this revelation, de Canço fired four cannon shots to alert one of his boats, which was in pursuit of another English ship, to go as soon as possible to warn Puerto Rico of the danger.",2023-04-08T10:57:29Z
1224502282,"'''Population 25,000 to 99,999'''",2024-05-18T20:08:17Z,"'''Population 100,000 to 499,999'''",2024-05-18T20:08:58Z
1223515136,| caps4 = 5,2024-05-04T15:28:09Z,| caps4 = 6,2024-05-12T17:22:06Z
